SR Tendulkar ,52,India,664,34357,264,,,,,,
KC Sangakkara ,47,SL,594,28016,159,,,,,,
RT Ponting ,50,AUS,560,27483,246,,,,,,
V Kohli ,36,India,530,26884,301,,,,,,
DPMD Jayawardene ,48,SL,652,25957,170,,,,,,
JH Kallis ,49,SA,519,25534,254,,,,,,
R Dravid ,52,India,509,24208,66,,,,,,
BC Lara ,56,WI,430,22358,221,,,,,,
ST Jayasuriya ,56,SL,586,21032,352,,,,,,
S Chanderpaul ,50,WI,454,20988,126,,,,,,
Inzamam-ul-Haq ,55,PAK,499,20580,193,,,,,,
AB de Villiers ,41,SA,420,20014,328,,,,,,
CH Gayle ,45,WI,483,19593,553,,,,,,
JE Root ,34,ENG,346,19442,109,,,,,,
RG Sharma ,38,India,480,19077,612,,,,,,
DA Warner ,38,AUS,383,18995,321,,,,,,
HM Amla ,42,SA,349,18672,93,,,,,,
SC Ganguly ,52,India,424,18575,247,,,,,,
SR Waugh ,60,AUS,493,18496,88,,,,,,
LRPL Taylor ,41,NZ,450,18199,273,,,,,,
KS Williamson ,34,NZ,358,18128,137,,,,,,
Younis Khan ,47,PAK,408,17790,138,,,,,,
AR Border ,69,ENG,429,17698,71,,,,,,
TM Dilshan ,48,SL,497,17671,112,,,,,,
Mohammad Yousuf ,50,PAK,381,17300,142,,,,,,
MS Dhoni ,43,India,538,17266,359,,,,,,
V Sehwag ,46,India,374,17253,243,,,,,,
GC Smith ,44,SA,347,17236,94,,,,,,
MJ Clarke ,44,AUS,394,17112,102,,,,,,
ME Waugh ,59,AUS,372,16529,98,,,,,,
SPD Smith ,68,AUS,334,16225,131,,,,,,
Javed Miandad ,40,PAK,357,16213,92,,,,,,
DL Haynes ,59,WI,354,16135,77,,,,,,
AN Cook ,62,ENG,257,15737,21,,,,,,
PA de Silva ,53,SL,401,15645,150,,,,,,
M Azharuddin ,52,India,433,15593,96,,,,,,
AC Gilchrist ,52,AUS,396,15461,262,,,,,,
SP Fleming ,73,NZ,396,15319,89,,,,,,
IVA Richards ,36,WI,308,15261,210,,,,,,
Tamim Iqbal ,53,BAN,391,15249,189,,,,,,
